eps,init_id,final_loss,final_theta_dist,theta1,theta2
2.0,0,0.020086921751499176,0.9555738568305969,1.5874464511871338,1.7536762952804565
2.0,1,0.020122012123465538,0.5848634243011475,1.3127851486206055,1.4941970109939575
2.0,2,0.020087968558073044,0.9174935221672058,1.5406328439712524,1.741289734840393
2.0,3,0.020086923614144325,0.9553899765014648,1.587203860282898,1.7536323070526123
2.0,4,0.020086927339434624,0.9533579349517822,1.5850030183792114,1.7527700662612915
2.0,5,0.020087283104658127,0.9220654964447021,1.5605806112289429,1.7320889234542847
2.0,6,0.020154021680355072,0.5541994571685791,1.2055163383483887,1.5146844387054443
2.0,7,0.02008834294974804,0.9078934192657471,1.5327036380767822,1.7351852655410767
2.0,8,0.020086921751499176,0.9563467502593994,1.5884042978286743,1.7539094686508179
2.0,9,0.020101258531212807,0.7672300338745117,1.4113951921463013,1.6476078033447266
2.0,10,0.020086921751499176,0.9563473463058472,1.5884051322937012,1.7539095878601074
2.0,11,0.020086996257305145,0.9462868571281433,1.5757066011428833,1.751013159751892
2.0,12,0.020086951553821564,0.9487177729606628,1.5803288221359253,1.7505223751068115
2.0,13,0.02008935436606407,0.6622351408004761,1.5856351852416992,1.309171199798584
2.0,14,0.02009706012904644,0.8184397220611572,1.4393682479858398,1.6905064582824707
2.0,15,0.020088037475943565,0.9171276092529297,1.5390583276748657,1.7419832944869995
2.0,16,0.0200986135751009,0.7741014957427979,1.4287298917770386,1.6445337533950806
2.0,17,0.02010510489344597,0.535137951374054,1.3972289562225342,1.3585829734802246
2.0,18,0.02009412832558155,0.8588240742683411,1.4627174139022827,1.7235132455825806
2.0,19,0.020086921751499176,0.956347644329071,1.5884051322937012,1.753909945487976
1.0,0,0.017138581722974777,0.6641867756843567,1.453928828239441,1.4848636388778687
1.0,1,0.0171715896576643,0.38979867100715637,1.2289254665374756,1.3154934644699097
1.0,2,0.017139188945293427,0.6427208781242371,1.4235037565231323,1.4834611415863037
1.0,3,0.017138581722974777,0.6641315817832947,1.453850269317627,1.4848614931106567
1.0,4,0.017138581722974777,0.6634706854820251,1.4529457092285156,1.4848026037216187
1.0,5,0.017138751223683357,0.6490170955657959,1.4380054473876953,1.4789304733276367
1.0,6,0.017206190153956413,0.37494802474975586,1.130152940750122,1.3516336679458618
1.0,7,0.017139451578259468,0.6380752325057983,1.4174256324768066,1.4825928211212158
1.0,8,0.017138581722974777,0.6643466353416443,1.454153060913086,1.484872579574585
1.0,9,0.017150776460766792,0.5421441793441772,1.3165122270584106,1.4401594400405884
1.0,10,0.017138581722974777,0.6643460988998413,1.4541523456573486,1.484872579574585
1.0,11,0.017138607800006866,0.6599264144897461,1.4479060173034668,1.4846473932266235
1.0,12,0.017138589173555374,0.6616869568824768,1.450551152229309,1.4845960140228271
1.0,13,0.017140435054898262,0.48216405510902405,1.4537945985794067,1.162949800491333
1.0,14,0.017146863043308258,0.580164909362793,1.3406444787979126,1.4696303606033325
1.0,15,0.01713922992348671,0.6422015428543091,1.4224637746810913,1.4836808443069458
1.0,16,0.01714826188981533,0.5466630458831787,1.3316426277160645,1.4345729351043701
1.0,17,0.017154455184936523,0.35300585627555847,1.3051928281784058,1.1773991584777832
1.0,18,0.01714416965842247,0.6016693115234375,1.3609352111816406,1.4813852310180664
1.0,19,0.017138581722974777,0.6643458604812622,1.4541523456573486,1.4848722219467163
0.5,0,0.01432251837104559,0.5627502202987671,1.4021620750427246,1.3936413526535034
