theta1,theta2,J,J_eps
-3.0,-3.0,0.08937811106443405,0.03690135478973389
-3.0,-2.877551020408163,0.08925753831863403,0.03686287999153137
-3.0,-2.7551020408163267,0.08914075791835785,0.036825504153966904
-3.0,-2.63265306122449,0.0890277624130249,0.03678923100233078
-3.0,-2.510204081632653,0.08891855925321579,0.036754060536623
-3.0,-2.387755102040816,0.08881314843893051,0.03671999275684357
-3.0,-2.2653061224489797,0.08871151506900787,0.03668702766299248
-3.0,-2.142857142857143,0.08861367404460907,0.03665516525506973
-3.0,-2.020408163265306,0.0885196104645729,0.03662440553307533
-3.0,-1.8979591836734695,0.08842932432889938,0.03659474104642868
-3.0,-1.7755102040816326,0.08834283798933029,0.03656618297100067
-3.0,-1.653061224489796,0.08826012909412384,0.03653872758150101
-3.0,-1.5306122448979593,0.08818119764328003,0.03651236742734909
-3.0,-1.4081632653061225,0.08810605108737946,0.03648710995912552
-3.0,-1.2857142857142858,0.08803468942642212,0.03646295890212059
-3.0,-1.163265306122449,0.08796710520982742,0.03643990308046341
-3.0,-1.0408163265306123,0.08790329843759537,0.03641794994473457
-3.0,-0.9183673469387754,0.08784326910972595,0.036397095769643784
-3.0,-0.795918367346939,0.08778702467679977,0.03637734428048134
-3.0,-0.6734693877551021,0.08773455023765564,0.03635869547724724
-3.0,-0.5510204081632653,0.08768586814403534,0.03634113818407059
-3.0,-0.4285714285714288,0.08764095604419708,0.03632469102740288
-3.0,-0.30612244897959195,0.08759982138872147,0.036309339106082916
-3.0,-0.18367346938775508,0.08756247162818909,0.0362950898706913
-3.0,-0.06122448979591866,0.08752889931201935,0.03628193959593773
-3.0,0.06122448979591821,0.08749909698963165,0.0362698920071125
-3.0,0.18367346938775508,0.08747308701276779,0.036258943378925323
-3.0,0.30612244897959195,0.08745084702968597,0.03624909371137619
-3.0,0.4285714285714284,0.0874323844909668,0.0362403467297554
-3.0,0.5510204081632653,0.08741770684719086,0.03623269870877266
-3.0,0.6734693877551021,0.08740679919719696,0.03622614964842796
-3.0,0.7959183673469385,0.0873996764421463,0.036220699548721313
-3.0,0.9183673469387754,0.08739633113145828,0.03621635213494301
-3.0,1.0408163265306118,0.0873967707157135,0.03621310740709305
-3.0,1.1632653061224492,0.08740098774433136,0.036210957914590836
-3.0,1.2857142857142856,0.08740898966789246,0.036209914833307266
-3.0,1.408163265306122,0.0874207615852356,0.03620997071266174
-3.0,1.5306122448979593,0.08743631094694138,0.036211125552654266
-3.0,1.6530612244897958,0.08745566010475159,0.036213383078575134
-3.0,1.7755102040816322,0.08747877925634384,0.03621674329042435
-3.0,1.8979591836734695,0.08750569075345993,0.03622119873762131
-3.0,2.020408163265306,0.08753637969493866,0.03622675687074661
-3.0,2.1428571428571423,0.08757085353136063,0.03623342141509056
-3.0,2.2653061224489797,0.08760911971330643,0.03624118119478226
-3.0,2.387755102040816,0.08765116333961487,0.036250047385692596
-3.0,2.5102040816326525,0.08769699186086655,0.036260008811950684
-3.0,2.63265306122449,0.08774661272764206,0.03627108037471771
-3.0,2.7551020408163263,0.08780001848936081,0.03628325089812279
-3.0,2.8775510204081627,0.08785722404718399,0.03629652038216591
-3.0,3.0,0.08791820704936981,0.03631089627742767
-2.877551020408163,-3.0,0.08414608985185623,0.035509683191776276
-2.877551020408163,-2.877551020408163,0.08402537554502487,0.03547114506363869
-2.877551020408163,-2.7551020408163267,0.08390845358371735,0.03543370962142944
-2.877551020408163,-2.63265306122449,0.08379532396793365,0.035397376865148544
-2.877551020408163,-2.510204081632653,0.0836859866976738,0.03536214679479599
-2.877551020408163,-2.387755102040816,0.08358044177293777,0.03532802686095238
-2.877551020408163,-2.2653061224489797,0.08347868174314499,0.03529500588774681
-2.877551020408163,-2.142857142857143,0.08338071405887604,0.035263095051050186
-2.877551020408163,-2.020408163265306,0.08328653126955032,0.03523227944970131
-2.877551020408163,-1.8979591836734695,0.08319613337516785,0.035202570259571075
-2.877551020408163,-1.7755102040816326,0.0831095278263092,0.035173963755369186
-2.877551020408163,-1.653061224489796,0.0830267071723938,0.03514645993709564
-2.877551020408163,-1.5306122448979593,0.08294767141342163,0.03512006253004074
-2.877551020408163,-1.4081632653061225,0.0828724130988121,0.03509476035833359
-2.877551020408163,-1.2857142857142858,0.082800954580307,0.035070568323135376
-2.877551020408163,-1.163265306122449,0.08273326605558395,0.03504747897386551
-2.877551020408163,-1.0408163265306123,0.08266936987638474,0.03502548485994339
-2.877551020408163,-0.9183673469387754,0.08260925859212875,0.03500460088253021
-2.877551020408163,-0.795918367346939,0.08255292475223541,0.03498481586575508
-2.877551020408163,-0.6734693877551021,0.08250037580728531,0.034966133534908295
-2.877551020408163,-0.5510204081632653,0.08245160430669785,0.03494855388998985
-2.877551020408163,-0.4285714285714288,0.08240661025047302,0.034932076930999756
-2.877551020408163,-0.30612244897959195,0.08236540853977203,0.034916702657938004
-2.877551020408163,-0.18367346938775508,0.08232799172401428,0.0349024273455143
-2.877551020408163,-0.06122448979591866,0.08229435235261917,0.034889254719018936
-2.877551020408163,0.06122448979591821,0.0822644904255867,0.03487718850374222
-2.877551020408163,0.18367346938775508,0.08223840594291687,0.034866221249103546
-2.877551020408163,0.30612244897959195,0.08221611380577087,0.03485635295510292
-2.877551020408163,0.4285714285714284,0.08219759911298752,0.03484759107232094
-2.877551020408163,0.5510204081632653,0.0821828693151474,0.0348399318754673
-2.877551020408163,0.6734693877551021,0.08217191696166992,0.03483336791396141
-2.877551020408163,0.7959183673469385,0.08216475695371628,0.03482791408896446
-2.877551020408163,0.9183673469387754,0.08216137439012527,0.03482355922460556
-2.877551020408163,1.0408163265306118,0.08216176927089691,0.034820307046175
-2.877551020408163,1.1632653061224492,0.08216595649719238,0.03481815755367279
-2.877551020408163,1.2857142857142856,0.0821739137172699,0.034817107021808624
-2.877551020408163,1.408163265306122,0.08218567073345184,0.0348171629011631
-2.877551020408163,1.5306122448979593,0.08220120519399643,0.03481832146644592
-2.877551020408163,1.6530612244897958,0.08222052454948425,0.03482057899236679
-2.877551020408163,1.7755102040816322,0.08224362879991531,0.0348239466547966
-2.877551020408163,1.8979591836734695,0.08227052539587021,0.03482840955257416
-2.877551020408163,2.020408163265306,0.08230120688676834,0.03483397513628006
-2.877551020408163,2.1428571428571423,0.08233568072319031,0.034840650856494904
-2.877551020408163,2.2653061224489797,0.08237393200397491,0.034848425537347794
-2.877551020408163,2.387755102040816,0.08241598308086395,0.03485730290412903
-2.877551020408163,2.5102040816326525,0.08246181160211563,0.03486728295683861
-2.877551020408163,2.63265306122449,0.08251144737005234,0.03487836942076683
-2.877551020408163,2.7551020408163263,0.08256486058235168,0.034890562295913696
-2.877551020408163,2.8775510204081627,0.08262207359075546,0.03490385413169861
-2.877551020408163,3.0,0.08268307894468307,0.034918252378702164
-2.7551020408163267,-3.0,0.07907427847385406,0.034155283123254776
-2.7551020408163267,-2.877551020408163,0.07895343005657196,0.034116681665182114
-2.7551020408163267,-2.7551020408163267,0.0788363665342331,0.034079182893037796
-2.7551020408163267,-2.63265306122449,0.07872308790683746,0.03404279425740242
-2.7551020408163267,-2.510204081632653,0.07861362397670746,0.03400751203298569
-2.7551020408163267,-2.387755102040816,0.07850794494152069,0.0339733324944973
-2.7551020408163267,-2.2653061224489797,0.07840605825185776,0.03394025191664696
-2.7551020408163267,-2.142857142857143,0.07830796390771866,0.033908288925886154
-2.7551020408163267,-2.020408163265306,0.0782136619091034,0.0338774248957634
-2.7551020408163267,-1.8979591836734695,0.07812315225601196,0.03384766727685928
-2.7551020408163267,-1.7755102040816326,0.07803643494844437,0.03381901606917381
-2.7551020408163267,-1.653061224489796,0.07795350253582001,0.03379146754741669
-2.7551020408163267,-1.5306122448979593,0.07787435501813889,0.033765025436878204
-2.7551020408163267,-1.4081632653061225,0.0777989998459816,0.033739686012268066
-2.7551020408163267,-1.2857142857142858,0.07772742956876755,0.03371544927358627
-2.7551020408163267,-1.163265306122449,0.07765965163707733,0.03369232267141342
-2.7551020408163267,-1.0408163265306123,0.07759565860033035,0.033670295029878616
-2.7551020408163267,-0.9183673469387754,0.07753545045852661,0.033649373799562454
-2.7551020408163267,-0.795918367346939,0.0774790346622467,0.033629558980464935
-2.7551020408163267,-0.6734693877551021,0.07742640376091003,0.03361084312200546
-2.7551020408163267,-0.5510204081632653,0.077377550303936,0.03359323740005493
-2.7551020408163267,-0.4285714285714288,0.07733248919248581,0.033576734364032745
-2.7551020408163267,-0.30612244897959195,0.07729120552539825,0.033561334013938904
-2.7551020408163267,-0.18367346938775508,0.07725371420383453,0.03354703262448311
-2.7551020408163267,-0.06122448979591866,0.07722000777721405,0.033533841371536255
-2.7551020408163267,0.06122448979591821,0.0771900862455368,0.03352174907922745
-2.7551020408163267,0.18367346938775508,0.0771639496088028,0.03351076692342758
-2.7551020408163267,0.30612244897959195,0.07714159786701202,0.03350088372826576
-2.7551020408163267,0.4285714285714284,0.07712303102016449,0.033492106944322586
-2.7551020408163267,0.5510204081632653,0.07710825651884079,0.033484432846307755
-2.7551020408163267,0.6734693877551021,0.07709725201129913,0.033477865159511566
-2.7551020408163267,0.7959183673469385,0.07709003984928131,0.033472396433353424
-2.7551020408163267,0.9183673469387754,0.07708662003278732,0.033468034118413925
-2.7551020408163267,1.0408163265306118,0.07708698511123657,0.03346477821469307
-2.7551020408163267,1.1632653061224492,0.07709112763404846,0.03346262127161026
-2.7551020408163267,1.2857142857142856,0.07709906995296478,0.033461570739746094
-2.7551020408163267,1.408163265306122,0.07711078971624374,0.03346162661910057
-2.7551020408163267,1.5306122448979593,0.07712630182504654,0.03346278518438339
-2.7551020408163267,1.6530612244897958,0.07714560627937317,0.03346505016088486
-2.7551020408163267,1.7755102040816322,0.07716870307922363,0.033468421548604965
-2.7551020408163267,1.8979591836734695,0.07719557732343674,0.03347289189696312
-2.7551020408163267,2.020408163265306,0.07722625136375427,0.033478472381830215
-2.7551020408163267,2.1428571428571423,0.07726071029901505,0.03348515182733536
-2.7551020408163267,2.2653061224489797,0.07729896903038025,0.03349293768405914
-2.7551020408163267,2.387755102040816,0.07734101265668869,0.03350182995200157
-2.7551020408163267,2.5102040816326525,0.07738685607910156,0.03351183235645294
-2.7551020408163267,2.63265306122449,0.07743649184703827,0.03352293372154236
-2.7551020408163267,2.7551020408163263,0.07748991996049881,0.03353514149785042
-2.7551020408163267,2.8775510204081627,0.07754715532064438,0.03354845941066742
-2.7551020408163267,3.0,0.07760817557573318,0.03356287628412247
-2.63265306122449,-3.0,0.07416269928216934,0.03283817321062088
-2.63265306122449,-2.877551020408163,0.0740416944026947,0.03279951214790344
-2.63265306122449,-2.7551020408163267,0.07392449676990509,0.03276195377111435
-2.63265306122449,-2.63265306122449,0.07381109148263931,0.0327255018055439
-2.63265306122449,-2.510204081632653,0.07370147854089737,0.03269015625119209
-2.63265306122449,-2.387755102040816,0.07359567284584045,0.032655924558639526
