init_id,condition,final_loss,final_theta_dist,converged,conv_step,theta1_final,theta2_final
0,raw,1.1429997268488142e-14,1.430511474609375e-06,1,165,1.0000014305114746,1.0
0,smooth_sym,1.6405876223507532e-15,1.0728836059570312e-06,1,166,1.000001072883606,1.0
1,raw,5.131321449880488e-05,0.11254457384347916,0,500,0.9046652317047119,0.9401872754096985
1,smooth_sym,1.2248740858922247e-05,0.1101483404636383,0,500,0.906347393989563,0.9420185685157776
2,raw,5.271511582805033e-08,0.0030374866910278797,1,344,0.9969626069068909,0.9999761581420898
2,smooth_sym,1.3855458114164776e-08,0.0031357486732304096,1,345,0.9968642592430115,0.9999929666519165
3,raw,2.9067492008071896e-15,7.748603820800781e-07,1,171,1.0000007152557373,0.9999997019767761
3,smooth_sym,5.581915888065909e-16,6.664001830358757e-07,1,172,1.0000005960464478,0.9999997019767761
4,raw,3.317137457845286e-16,2.528810796320613e-07,1,203,0.9999998211860657,0.9999998211860657
4,smooth_sym,1.1640100138224986e-16,2.528810796320613e-07,1,203,0.9999998211860657,0.9999998211860657
5,raw,3.7049654455501013e-09,0.0008043156703934073,1,307,0.9991986155509949,0.9999313950538635
5,smooth_sym,1.0141513184791506e-09,0.0008459575474262238,1,307,0.9991556406021118,0.9999480247497559
6,raw,0.00014871636813040823,0.1678221970796585,0,500,0.836851179599762,0.9606712460517883
6,smooth_sym,3.507508154143579e-05,0.16366876661777496,0,500,0.8406235575675964,0.962762713432312
7,raw,1.0679557505000048e-07,0.004328724928200245,1,357,0.9956715106964111,0.9999548196792603
7,smooth_sym,2.777447782875697e-08,0.004444857593625784,1,358,0.9955551624298096,0.9999865889549255
8,raw,0.0,0.0,1,18,1.0,1.0
8,smooth_sym,0.0,0.0,1,18,1.0,1.0
9,raw,1.0994652257068083e-05,0.044603217393159866,1,490,0.9557703137397766,0.9942396283149719
9,smooth_sym,2.6719130801211577e-06,0.044191695749759674,1,489,0.9561099410057068,0.9948455095291138
10,raw,3.5321111773104264e-17,3.5762786865234375e-07,1,89,1.0,0.9999996423721313
10,smooth_sym,1.7452811130070664e-17,3.5762786865234375e-07,1,89,1.0,0.9999996423721313
11,raw,3.828879227563142e-11,8.070840704021975e-05,1,258,0.9999192953109741,0.9999992251396179
11,smooth_sym,1.1341263865538576e-11,8.84542751009576e-05,1,258,0.9999115467071533,0.9999995827674866
12,raw,1.6263647329914366e-12,1.652349965297617e-05,1,236,0.9999834895133972,0.9999993443489075
12,smooth_sym,5.07243877977126e-13,1.8604385331855156e-05,1,237,0.9999814033508301,0.999999463558197
13,raw,3.00551164400531e-06,0.15075480937957764,0,500,0.9999680519104004,0.8492451906204224
13,smooth_sym,9.017600177685381e-07,0.15135324001312256,0,500,0.9999837875366211,0.8486467599868774
14,raw,5.8753553275892045e-06,0.032315995544195175,1,465,0.9676910042762756,0.9993274211883545
14,smooth_sym,1.4405412684936891e-06,0.032208047807216644,1,465,0.9677938222885132,0.9996528625488281
15,raw,5.984851014773085e-08,0.0032372670248150826,1,346,0.9967628717422485,0.999970018863678
15,smooth_sym,1.5687776411255072e-08,0.003337335539981723,1,347,0.9966626763343811,0.9999911189079285
16,raw,7.545583230239572e-06,0.037346839904785156,1,476,0.9633886814117432,0.9926245212554932
16,smooth_sym,1.8431650232741958e-06,0.037053998559713364,1,476,0.9635757207870483,0.9931977391242981
17,raw,1.7003823813865893e-05,0.15694904327392578,0,500,0.9498984813690186,0.8512625098228455
17,smooth_sym,4.251915015629493e-06,0.15464338660240173,0,500,0.9504005908966064,0.8535265326499939
18,raw,3.0344831429829355e-06,0.023197295144200325,1,442,0.9768035411834717,0.9998030066490173
18,smooth_sym,7.508213002438424e-07,0.02322978712618351,1,442,0.976770281791687,0.9999433159828186
19,raw,0.0,0.0,1,6,1.0,1.0
19,smooth_sym,0.0,0.0,1,6,1.0,1.0
