state_dim,init_id,condition,final_loss,final_theta_dist,converged,conv_step
32,0,raw,5.179617483888361e-15,1.1920928955078125e-06,1,166
32,1,raw,3.33310199494008e-05,0.11299149692058563,0,500
32,2,raw,3.408466042742475e-08,0.0030443791765719652,1,344
32,3,raw,1.989674252111484e-15,7.748603820800781e-07,1,171
32,4,raw,2.896992969441596e-16,2.528810796320613e-07,1,203
32,5,raw,2.40614705937503e-09,0.0008070902549661696,1,307
32,6,raw,9.682538802735507e-05,0.16864940524101257,0,500
32,7,raw,6.901095872535734e-08,0.004337103571742773,1,357
32,8,raw,0.0,0.0,1,18
32,9,raw,7.098745754774427e-06,0.044641971588134766,1,490
32,10,raw,4.2504354829959656e-17,3.5762786865234375e-07,1,89
32,11,raw,2.503455082125683e-11,8.136112592183053e-05,1,258
32,12,raw,1.0845872810971713e-12,1.681706817180384e-05,1,237
32,13,raw,2.419817519694334e-06,0.1501142978668213,0,500
32,14,raw,3.7905563203821657e-06,0.03235099837183952,1,465
32,15,raw,3.866815490027875e-08,0.003243345068767667,1,347
32,16,raw,4.87018996864208e-06,0.03736669942736626,1,476
32,17,raw,1.1507468116178643e-05,0.1581997573375702,0,500
32,18,raw,1.9559784050215967e-06,0.02321420982480049,1,442
32,19,raw,0.0,0.0,1,6
32,0,smooth,0.010625776834785938,0.6840065717697144,0,500
32,1,smooth,0.010665353387594223,0.37564927339553833,1,373
32,2,smooth,0.010626838542521,0.6460031867027283,0,500
32,3,smooth,0.010625777766108513,0.683829128742218,0,500
32,4,smooth,0.010625781491398811,0.6821155548095703,0,500
32,5,smooth,0.010626125149428844,0.6609982252120972,0,500
32,6,smooth,0.010702931322157383,0.31768640875816345,0,500
32,7,smooth,0.010627239011228085,0.639258623123169,0,500
32,8,smooth,0.010625776834785938,0.6847007274627686,0,500
32,9,smooth,0.010641543194651604,0.5228370428085327,0,500
32,10,smooth,0.010625776834785938,0.684701681137085,0,500
32,11,smooth,0.010625846683979034,0.6747971177101135,0,500
32,12,smooth,0.010625804774463177,0.6783960461616516,0,500
32,13,smooth,0.010627795942127705,0.5915507674217224,0,500
32,14,smooth,0.010636845603585243,0.5593839287757874,0,500
32,15,smooth,0.010626902803778648,0.6449286937713623,0,500
32,16,smooth,0.010638530366122723,0.5338429808616638,0,500
32,17,smooth,0.010646011680364609,0.40534767508506775,0,500
32,18,smooth,0.010633504018187523,0.5824272036552429,0,500
32,19,smooth,0.010625776834785938,0.6847016215324402,0,500
64,0,raw,1.1429997268488142e-14,1.430511474609375e-06,1,165
64,1,raw,5.131321449880488e-05,0.11254457384347916,0,500
64,2,raw,5.271511582805033e-08,0.0030374866910278797,1,344
64,3,raw,2.9067492008071896e-15,7.748603820800781e-07,1,171
64,4,raw,3.317137457845286e-16,2.528810796320613e-07,1,203
64,5,raw,3.7049654455501013e-09,0.0008043156703934073,1,307
64,6,raw,0.00014871636813040823,0.1678221970796585,0,500
64,7,raw,1.0679557505000048e-07,0.004328724928200245,1,357
64,8,raw,0.0,0.0,1,18
64,9,raw,1.0994652257068083e-05,0.044603217393159866,1,490
64,10,raw,3.5321111773104264e-17,3.5762786865234375e-07,1,89
64,11,raw,3.828879227563142e-11,8.070840704021975e-05,1,258
64,12,raw,1.6263647329914366e-12,1.652349965297617e-05,1,236
64,13,raw,3.00551164400531e-06,0.15075480937957764,0,500
64,14,raw,5.8753553275892045e-06,0.032315995544195175,1,465
64,15,raw,5.984851014773085e-08,0.0032372670248150826,1,346
64,16,raw,7.545583230239572e-06,0.037346839904785156,1,476
64,17,raw,1.7003823813865893e-05,0.15694904327392578,0,500
64,18,raw,3.0344831429829355e-06,0.023197295144200325,1,442
64,19,raw,0.0,0.0,1,6
64,0,smooth,0.010358106344938278,0.5214208960533142,0,500
64,1,smooth,0.01041630282998085,0.2838783264160156,1,394
64,2,smooth,0.010358932428061962,0.5031580328941345,0,500
64,3,smooth,0.010358106344938278,0.521389365196228,0,500
64,4,smooth,0.010358106344938278,0.5209760665893555,0,500
64,5,smooth,0.010358312167227268,0.5109723210334778,0,500
64,6,smooth,0.010481810197234154,0.2640276849269867,0,500
64,7,smooth,0.010359327308833599,0.4992680847644806,0,500
64,8,smooth,0.010358106344938278,0.5214940309524536,0,500
64,9,smooth,0.010378532111644745,0.41708695888519287,0,500
64,10,smooth,0.010358106344938278,0.5214940309524536,0,500
64,11,smooth,0.010358132421970367,0.5182393193244934,0,500
64,12,smooth,0.01035811472684145,0.5197224020957947,0,500
64,13,smooth,0.01036083698272705,0.4030243158340454,0,500
64,14,smooth,0.010371679440140724,0.44744202494621277,0,500
64,15,smooth,0.010358991101384163,0.5025151371955872,0,500
64,16,smooth,0.010374084115028381,0.4228660762310028,0,500
64,17,smooth,0.01038473378866911,0.2753640413284302,0,500
64,18,smooth,0.010367019101977348,0.46322041749954224,0,500
64,19,smooth,0.010358106344938278,0.5214934945106506,0,500
128,0,raw,7.0442622614468216e-15,1.430511474609375e-06,1,165
128,1,raw,3.2127907616086304e-05,0.11409974098205566,0,500
128,2,raw,3.1692966473428896e-08,0.002997441915795207,1,344
128,3,raw,1.9144035162866778e-15,7.748603820800781e-07,1,171
128,4,raw,2.3954091748351614e-16,2.1490760104825313e-07,1,202
128,5,raw,2.192273029777425e-09,0.0007873327122069895,1,307
128,6,raw,9.331240289611742e-05,0.16945557296276093,0,500
