state_dim,condition,conv_rate,mean_final_loss,mean_theta_dist,std_theta_dist
32,raw,0.8,8.097168005460058e-06,0.03695307551532494,0.05914944894290792
32,smooth,0.05,0.010635296953842044,0.5968581229448319,0.11322423948011832
64,raw,0.8,1.2385604807064811e-05,0.03685209068324582,0.05895351569098637
64,smooth,0.05,0.010371772339567542,0.4579526513814926,0.08809026342271543
128,raw,0.8,7.76603158552666e-06,0.03714480740770369,0.05953415939062912
128,smooth,0.1,0.007700781524181366,0.6614168822765351,0.12553972911379857
