dyn_seed,init_id,condition,final_loss,final_theta_dist,converged,conv_step
0,0,raw,1.1429997268488142e-14,1.430511474609375e-06,1,165
0,1,raw,5.131321449880488e-05,0.11254457384347916,0,500
0,2,raw,5.271511582805033e-08,0.0030374866910278797,1,344
0,3,raw,2.9067492008071896e-15,7.748603820800781e-07,1,171
0,4,raw,3.317137457845286e-16,2.528810796320613e-07,1,203
0,5,raw,3.7049654455501013e-09,0.0008043156703934073,1,307
0,6,raw,0.00014871636813040823,0.1678221970796585,0,500
0,7,raw,1.0679557505000048e-07,0.004328724928200245,1,357
0,8,raw,0.0,0.0,1,18
0,9,raw,1.0994652257068083e-05,0.044603217393159866,1,490
0,10,raw,3.5321111773104264e-17,3.5762786865234375e-07,1,89
0,11,raw,3.828879227563142e-11,8.070840704021975e-05,1,258
0,12,raw,1.6263647329914366e-12,1.652349965297617e-05,1,236
0,13,raw,3.00551164400531e-06,0.15075480937957764,0,500
0,14,raw,5.8753553275892045e-06,0.032315995544195175,1,465
0,15,raw,5.984851014773085e-08,0.0032372670248150826,1,346
0,16,raw,7.545583230239572e-06,0.037346839904785156,1,476
0,17,raw,1.7003823813865893e-05,0.15694904327392578,0,500
0,18,raw,3.0344831429829355e-06,0.023197295144200325,1,442
0,19,raw,0.0,0.0,1,6
0,0,smooth,0.010358106344938278,0.5214208960533142,0,500
0,1,smooth,0.01041630282998085,0.2838783264160156,1,394
0,2,smooth,0.010358932428061962,0.5031580328941345,0,500
0,3,smooth,0.010358106344938278,0.521389365196228,0,500
0,4,smooth,0.010358106344938278,0.5209760665893555,0,500
0,5,smooth,0.010358312167227268,0.5109723210334778,0,500
0,6,smooth,0.010481810197234154,0.2640276849269867,0,500
0,7,smooth,0.010359327308833599,0.4992680847644806,0,500
0,8,smooth,0.010358106344938278,0.5214940309524536,0,500
0,9,smooth,0.010378532111644745,0.41708695888519287,0,500
0,10,smooth,0.010358106344938278,0.5214940309524536,0,500
0,11,smooth,0.010358132421970367,0.5182393193244934,0,500
0,12,smooth,0.01035811472684145,0.5197224020957947,0,500
0,13,smooth,0.01036083698272705,0.4030243158340454,0,500
0,14,smooth,0.010371679440140724,0.44744202494621277,0,500
0,15,smooth,0.010358991101384163,0.5025151371955872,0,500
0,16,smooth,0.010374084115028381,0.4228660762310028,0,500
0,17,smooth,0.01038473378866911,0.2753640413284302,0,500
0,18,smooth,0.010367019101977348,0.46322041749954224,0,500
0,19,smooth,0.010358106344938278,0.5214934945106506,0,500
1,0,raw,1.0112941503637694e-14,1.3113021850585938e-06,1,165
1,1,raw,5.443262489279732e-05,0.11572539806365967,0,500
1,2,raw,5.315661155691487e-08,0.0029872157610952854,1,344
1,3,raw,4.368047265036756e-15,1.0254771041218191e-06,1,171
1,4,raw,3.8529834704703614e-16,5.092622927804769e-07,1,202
1,5,raw,3.667543602148271e-09,0.0007829092792235315,1,307
1,6,raw,0.00015894396346993744,0.170454204082489,0,500
1,7,raw,1.0837936770258239e-07,0.00427063787356019,1,357
1,8,raw,0.0,0.0,1,18
1,9,raw,1.15694156193058e-05,0.044824980199337006,1,490
1,10,raw,3.402587928274423e-17,3.5762786865234375e-07,1,89
1,11,raw,3.629203881860832e-11,7.695292151765898e-05,1,257
1,12,raw,1.4913999939539235e-12,1.5534302292508073e-05,1,236
1,13,raw,1.9459910163277527e-06,0.14822691679000854,0,500
1,14,raw,6.153192771307658e-06,0.03238751366734505,1,465
1,15,raw,6.036927402419678e-08,0.0031841532327234745,1,346
1,16,raw,7.918143637652975e-06,0.03754910081624985,1,477
1,17,raw,1.7047726942109875e-05,0.1653928905725479,0,500
1,18,raw,3.1573222258884925e-06,0.023176098242402077,1,442
1,19,raw,0.0,0.0,1,6
1,0,smooth,0.01093258522450924,0.5529611706733704,0,500
1,1,smooth,0.010999263264238834,0.3064611256122589,0,500
1,2,smooth,0.010933317244052887,0.5397970080375671,0,500
1,3,smooth,0.010932586155831814,0.5529457926750183,0,500
1,4,smooth,0.01093258522450924,0.5527147054672241,0,500
1,5,smooth,0.010932751931250095,0.5437166094779968,0,500
1,6,smooth,0.011079933494329453,0.30475959181785583,0,500
1,7,smooth,0.01093369722366333,0.536817193031311,0,500
1,8,smooth,0.01093258522450924,0.552992045879364,0,500
1,9,smooth,0.010954787954688072,0.45571911334991455,0,500
1,10,smooth,0.01093258522450924,0.552992582321167,0,500
1,11,smooth,0.010932602919638157,0.5509265065193176,0,500
1,12,smooth,0.010932590812444687,0.5519299507141113,0,500
1,13,smooth,0.010934244841337204,0.38578781485557556,0,500
1,14,smooth,0.010946991853415966,0.49166083335876465,0,500
1,15,smooth,0.010933374054729939,0.5392847061157227,0,500
1,16,smooth,0.01094970852136612,0.45830243825912476,0,500
1,17,smooth,0.01096073817461729,0.2671975791454315,0,500
1,18,smooth,0.010941799730062485,0.5080998539924622,0,500
1,19,smooth,0.01093258522450924,0.5529927611351013,0,500
2,0,raw,8.250788697010056e-15,1.3113021850585938e-06,1,165
2,1,raw,4.5404543925542384e-05,0.11342550069093704,0,500
2,2,raw,4.5253418790025535e-08,0.0030261888168752193,1,344
2,3,raw,3.5269225843477916e-15,9.610960205463925e-07,1,171
2,4,raw,3.6516450623969943e-16,3.998401041371835e-07,1,202
2,5,raw,3.161346517899233e-09,0.0007976362248882651,1,307
2,6,raw,0.00013043124636169523,0.16874636709690094,0,500
2,7,raw,9.1884899688921e-08,0.004317346028983593,1,357
2,8,raw,0.0,0.0,1,18
2,9,raw,9.573300303600263e-06,0.044697992503643036,1,490
2,10,raw,5.589256090298358e-17,3.5762786865234375e-07,1,89
2,11,raw,3.222944480740786e-11,7.963323150761425e-05,1,257
2,12,raw,1.3500668681956651e-12,1.6180987586267292e-05,1,236
2,13,raw,6.049499916116474e-06,0.14960098266601562,0,500
2,14,raw,5.10620657223626e-06,0.032390985637903214,1,465
2,15,raw,5.134435454579034e-08,0.0032241358421742916,1,346
2,16,raw,6.568927346961573e-06,0.03740629181265831,1,477
2,17,raw,1.846375198510941e-05,0.15969455242156982,0,500
2,18,raw,2.630706831041607e-06,0.023225674405694008,1,442
2,19,raw,0.0,0.0,1,6
2,0,smooth,0.010355116799473763,0.6556628346443176,0,500
2,1,smooth,0.010415397584438324,0.3683931529521942,1,377
2,2,smooth,0.010356389917433262,0.6280344724655151,0,500
2,3,smooth,0.010355116799473763,0.6555694937705994,0,500
2,4,smooth,0.010355120524764061,0.6545739769935608,0,500
2,5,smooth,0.01035549771040678,0.6384395360946655,0,500
2,6,smooth,0.010475256480276585,0.33590859174728394,0,500
2,7,smooth,0.01035691425204277,0.6228998899459839,0,500
2,8,smooth,0.010355116799473763,0.6559714078903198,0,500
2,9,smooth,0.010377827100455761,0.5197646617889404,0,500
2,10,smooth,0.010355116799473763,0.6559706330299377,0,500
2,11,smooth,0.010355181060731411,0.6496514081954956,0,500
2,12,smooth,0.010355141013860703,0.6521763205528259,0,500
2,13,smooth,0.010360515676438808,0.5271682739257812,0,500
2,14,smooth,0.010370727628469467,0.5572077035903931,0,500
2,15,smooth,0.010356469079852104,0.62715744972229,0,500
2,16,smooth,0.010373290628194809,0.526930570602417,0,500
2,17,smooth,0.01038690097630024,0.3664151728153229,0,500
2,18,smooth,0.010365764610469341,0.5774368643760681,0,500
2,19,smooth,0.010355116799473763,0.6559720039367676,0,500
3,0,raw,9.471084500163856e-15,1.3113021850585938e-06,1,166
3,1,raw,5.20515204698313e-05,0.1147678792476654,0,500
3,2,raw,5.4102471835904e-08,0.0030772171448916197,1,345
3,3,raw,2.9606179551537213e-15,9.310543305218744e-07,1,171
3,4,raw,3.8777266263486396e-16,3.998401041371835e-07,1,203
3,5,raw,3.843029450223412e-09,0.0008179866126738489,1,307
3,6,raw,0.000150068910443224,0.16883917152881622,0,500
3,7,raw,1.0950034123879959e-07,0.004383108112961054,1,358
3,8,raw,0.0,0.0,1,18
3,9,raw,1.1143614756292664e-05,0.044886358082294464,1,491
3,10,raw,4.233035242502545e-17,3.5762786865234375e-07,1,89
3,11,raw,4.0178048388295196e-11,8.267473458545282e-05,1,258
3,12,raw,1.7174443291134711e-12,1.7021169696818106e-05,1,237
3,13,raw,3.742265562323155e-06,0.14865970611572266,0,500
3,14,raw,5.9615176724037156e-06,0.03254587948322296,1,466
3,15,raw,6.135075381052957e-08,0.003277610754594207,1,347
3,16,raw,7.657386959181167e-06,0.03764515742659569,1,477
3,17,raw,1.8383434507995844e-05,0.16389521956443787,0,500
3,18,raw,3.0787084597250214e-06,0.023365207016468048,1,443
3,19,raw,0.0,0.0,1,6
3,0,smooth,0.008881314657628536,0.5317696332931519,0,500
3,1,smooth,0.00893983244895935,0.2873407006263733,1,394
3,2,smooth,0.008882044814527035,0.5148059129714966,0,500
3,3,smooth,0.008881314657628536,0.5317437648773193,0,500
3,4,smooth,0.008881314657628536,0.5313901305198669,0,500
3,5,smooth,0.008881490677595139,0.5219942927360535,0,500
3,6,smooth,0.009008034132421017,0.2684812545776367,0,500
3,7,smooth,0.008882408030331135,0.5112348794937134,0,500
3,8,smooth,0.008881314657628536,0.5318301320075989,0,500
3,9,smooth,0.00890123751014471,0.4276392161846161,0,500
3,10,smooth,0.008881314657628536,0.5318301916122437,0,500
3,11,smooth,0.008881335146725178,0.5289288759231567,0,500
3,12,smooth,0.008881321176886559,0.5302997827529907,0,500
3,13,smooth,0.008883857168257236,0.410934716463089,0,500
3,14,smooth,0.008894388563930988,0.46011054515838623,0,500
3,15,smooth,0.008882098831236362,0.514129638671875,0,500
3,16,smooth,0.008896784856915474,0.43304938077926636,0,500
3,17,smooth,0.008907511830329895,0.28021925687789917,0,500
3,18,smooth,0.008889773860573769,0.4755989611148834,0,500
3,19,smooth,0.008881314657628536,0.5318294763565063,0,500
4,0,raw,4.9064010775208555e-15,1.3113021850585938e-06,1,165
4,1,raw,2.6166111638303846e-05,0.11658068001270294,0,500
4,2,raw,2.571177049048856e-08,0.0029854211024940014,1,344
4,3,raw,2.654613115156239e-15,9.830249609876773e-07,1,171
4,4,raw,1.7201174515925908e-16,2.1490760104825313e-07,1,202
4,5,raw,1.7874426383457376e-09,0.0007931696600280702,1,307
4,6,raw,7.543445826740935e-05,0.17005658149719238,0,500
4,7,raw,5.217724563522097e-08,0.004259133245795965,1,357
4,8,raw,0.0,0.0,1,18
4,9,raw,5.5013747441989835e-06,0.044724706560373306,1,490
4,10,raw,3.7278485800200744e-17,3.5762786865234375e-07,1,90
4,11,raw,1.8208243940387447e-11,7.829541573300958e-05,1,257
4,12,raw,7.499462747855012e-13,1.5746911230962723e-05,1,236
4,13,raw,2.63391461885476e-06,0.1485920250415802,0,500
4,14,raw,2.9257168989715865e-06,0.03212646394968033,1,465
4,15,raw,2.9353389052744205e-08,0.0031911286059767008,1,346
4,16,raw,3.7739205254183616e-06,0.037634290754795074,1,477
4,17,raw,1.0061443390441127e-05,0.1660122126340866,0,500
4,18,raw,1.511096570538939e-06,0.023040898144245148,1,442
4,19,raw,0.0,0.0,1,6
4,0,smooth,0.00957801565527916,0.602519154548645,0,500
4,1,smooth,0.009609929285943508,0.3246205747127533,0,500
4,2,smooth,0.00957835465669632,0.5889644026756287,0,500
4,3,smooth,0.00957801565527916,0.6025040745735168,0,500
4,4,smooth,0.00957801565527916,0.6022580862045288,0,500
4,5,smooth,0.009578092955052853,0.5904269218444824,0,500
4,6,smooth,0.009647225961089134,0.32205095887184143,0,500
4,7,smooth,0.009578530676662922,0.5850189924240112,0,500
4,8,smooth,0.00957801565527916,0.602550208568573,0,500
4,9,smooth,0.009588434360921383,0.49026158452033997,0,500
4,10,smooth,0.00957801565527916,0.6025508046150208,0,500
4,11,smooth,0.009578023105859756,0.6004868149757385,0,500
4,12,smooth,0.009578017517924309,0.6013486981391907,0,500
4,13,smooth,0.009580663405358791,0.39761072397232056,0,500
4,14,smooth,0.009584727697074413,0.532783567905426,0,500
4,15,smooth,0.009578382596373558,0.5887082815170288,0,500
4,16,smooth,0.009586087428033352,0.49248233437538147,0,500
4,17,smooth,0.009593512862920761,0.27369794249534607,0,500
4,18,smooth,0.009582317434251308,0.5570214986801147,0,500
4,19,smooth,0.00957801565527916,0.6025505661964417,0,500
5,0,raw,1.8659617443848517e-14,1.3113021850585938e-06,1,165
5,1,raw,0.00010006121010519564,0.10940992832183838,0,500
5,2,raw,1.0199972422242354e-07,0.0030282402876764536,1,344
5,3,raw,7.682042495345525e-15,8.678567269271298e-07,1,171
5,4,raw,5.896282107923094e-16,2.528810796320613e-07,1,202
5,5,raw,7.126897294540413e-09,0.0007978527573868632,1,306
5,6,raw,0.00029181025456637144,0.16733714938163757,0,500
5,7,raw,2.0687588175860583e-07,0.004317945335060358,1,357
5,8,raw,0.0,0.0,1,18
5,9,raw,2.147996383428108e-05,0.044549375772476196,1,490
5,10,raw,3.9251023702286547e-17,3.5762786865234375e-07,1,89
5,11,raw,7.304867127855275e-11,7.993162580532953e-05,1,257
5,12,raw,3.0594366016295504e-12,1.6221336409216747e-05,1,236
5,13,raw,3.67516395272105e-06,0.1540338397026062,0,500
5,14,raw,1.1470076969999354e-05,0.03235911205410957,1,465
5,15,raw,1.1574415736959054e-07,0.003226557280868292,1,346
5,16,raw,1.4724288121215068e-05,0.037153057754039764,1,476
5,17,raw,3.043638753297273e-05,0.146463543176651,0,500
5,18,raw,5.916091595281614e-06,0.023215115070343018,1,442
5,19,raw,0.0,0.0,1,6
5,0,smooth,0.013515072874724865,0.76237553358078,0,500
5,1,smooth,0.013645345345139503,0.46659091114997864,0,500
5,2,smooth,0.01351715438067913,0.743731677532196,0,500
5,3,smooth,0.013515072874724865,0.7623382210731506,0,500
5,4,smooth,0.013515075668692589,0.7618032097816467,0,500
5,5,smooth,0.013515626080334187,0.7451128959655762,0,500
5,6,smooth,0.013788812793791294,0.461306631565094,0,500
5,7,smooth,0.013518106192350388,0.7385667562484741,0,500
5,8,smooth,0.01351507380604744,0.7624819278717041,0,500
5,9,smooth,0.013562001287937164,0.6339719891548157,0,500
5,10,smooth,0.01351507380604744,0.7624815106391907,0,500
5,11,smooth,0.013515149243175983,0.7590014934539795,0,500
5,12,smooth,0.01351509615778923,0.7601814866065979,0,500
5,13,smooth,0.01351860910654068,0.4998006224632263,0,500
5,14,smooth,0.013546532019972801,0.6784916520118713,0,500
5,15,smooth,0.013517303392291069,0.7436697483062744,0,500
5,16,smooth,0.013552001677453518,0.6366562843322754,0,500
5,17,smooth,0.013573008589446545,0.3991926610469818,0,500
5,18,smooth,0.01353597640991211,0.7069442272186279,0,500
5,19,smooth,0.01351507380604744,0.7624813318252563,0,500
6,0,raw,9.493799382710374e-15,1.430511474609375e-06,1,165
6,1,raw,4.245266245561652e-05,0.11333365738391876,0,500
6,2,raw,4.19088515002386e-08,0.0029842976946383715,1,344
6,3,raw,2.635190226159224e-15,9.310543305218744e-07,1,171
6,4,raw,3.847285056317708e-16,3.998401041371835e-07,1,202
