label,init_id,final_loss,final_theta_dist,converged,conv_step,theta1_final,theta2_final
raw + Adam,0,1.1429997268488142e-14,1.430511474609375e-06,1,165,1.0000014305114746,1.0
raw + Adam,1,5.131321449880488e-05,0.11254457384347916,0,500,0.9046652317047119,0.9401872754096985
raw + Adam,2,5.271511582805033e-08,0.0030374866910278797,1,344,0.9969626069068909,0.9999761581420898
raw + Adam,3,2.9067492008071896e-15,7.748603820800781e-07,1,171,1.0000007152557373,0.9999997019767761
raw + Adam,4,3.317137457845286e-16,2.528810796320613e-07,1,203,0.9999998211860657,0.9999998211860657
raw + Adam,5,3.7049654455501013e-09,0.0008043156703934073,1,307,0.9991986155509949,0.9999313950538635
raw + Adam,6,0.00014871636813040823,0.1678221970796585,0,500,0.836851179599762,0.9606712460517883
raw + Adam,7,1.0679557505000048e-07,0.004328724928200245,1,357,0.9956715106964111,0.9999548196792603
raw + Adam,8,0.0,0.0,1,18,1.0,1.0
raw + Adam,9,1.0994652257068083e-05,0.044603217393159866,1,490,0.9557703137397766,0.9942396283149719
raw + Adam,10,3.5321111773104264e-17,3.5762786865234375e-07,1,89,1.0,0.9999996423721313
raw + Adam,11,3.828879227563142e-11,8.070840704021975e-05,1,258,0.9999192953109741,0.9999992251396179
raw + Adam,12,1.6263647329914366e-12,1.652349965297617e-05,1,236,0.9999834895133972,0.9999993443489075
raw + Adam,13,3.00551164400531e-06,0.15075480937957764,0,500,0.9999680519104004,0.8492451906204224
raw + Adam,14,5.8753553275892045e-06,0.032315995544195175,1,465,0.9676910042762756,0.9993274211883545
raw + Adam,15,5.984851014773085e-08,0.0032372670248150826,1,346,0.9967628717422485,0.999970018863678
raw + Adam,16,7.545583230239572e-06,0.037346839904785156,1,476,0.9633886814117432,0.9926245212554932
raw + Adam,17,1.7003823813865893e-05,0.15694904327392578,0,500,0.9498984813690186,0.8512625098228455
raw + Adam,18,3.0344831429829355e-06,0.023197295144200325,1,442,0.9768035411834717,0.9998030066490173
raw + Adam,19,0.0,0.0,1,6,1.0,1.0
smooth_sym + Adam,0,1.6405876223507532e-15,1.0728836059570312e-06,1,166,1.000001072883606,1.0
smooth_sym + Adam,1,1.2248740858922247e-05,0.1101483404636383,0,500,0.906347393989563,0.9420185685157776
smooth_sym + Adam,2,1.3855458114164776e-08,0.0031357486732304096,1,345,0.9968642592430115,0.9999929666519165
smooth_sym + Adam,3,5.581915888065909e-16,6.664001830358757e-07,1,172,1.0000005960464478,0.9999997019767761
